Feature Id,Importances
pair_decay_listens,16.308264540086512
pair_avg_played_ratio,12.544749952459043
pair_n_listens,7.95914241462933
embed_cos_user_last_k,5.237634744836945
pair_days_since_last_listen,5.207167149839873
user_share_organic,4.295483679404718
pair_listens_per_day,3.7315070423412333
pair_recency_ratio,3.6186135546544165
user_avg_listens_per_day,3.3921766350578535
recent_likes_score,3.1578989254627645
pair_share_organic,2.7233998793090213
pair_max_played_ratio,2.5773793985491324
user_n_listens_30d,2.471636258008831
repeat_score,2.0432412934887205
artist_pop_rank,1.998947960062922
pair_n_listens_90d,1.9418043918101275
item_pop_7d,1.646806101651507
artist_pop_score,1.616963704957469
user_n_listens,1.55190498958563
repeat_rank,1.3675114630723486
pair_avg_played_seconds,1.3587737757481637
recent_likes_rank,1.0380506338621671
pair_avg_played_ratio_30d,0.8338228134195393
item_recency,0.6951997026675643
pair_is_liked,0.6947547998220869
album_pop_score,0.6409314296545612
user_n_listens_7d,0.6247952251105123
artist_pop,0.5349915972753413
item_pop_30d,0.5327196167025464
user_n_listens_log,0.5201028384256355
item_track_length_seconds,0.49966315580445614
item_avg_played_ratio,0.37624422537962976
user_artist_share,0.3745392862893468
user_n_likes,0.31957835984619837
pair_share_recent_listens,0.31373878359704044
pair_share_completed,0.2838146750412902
item_share_organic,0.2782773765577002
user_recency_last_listen,0.25933573837177853
pair_days_since_first_listen,0.23761656735170988
user_album_listens,0.23570333074079247
user_share_low_played,0.23532297347110173
user_artist_listens,0.22963597343780534
als_score,0.2156401932587888
user_avg_played_ratio,0.2125558414931388
item_like_rate,0.20692528733134072
pair_n_listens_30d,0.18273570287798746
user_share_completed,0.18044552263812708
item_share_completed,0.1730919370974491
user_n_unique_artists,0.16629656620539643
user_share_replayed,0.15725626175393345
item_decay_pop,0.15543476335661124
embed_cos_user_mean,0.1538033846399961
album_pop,0.13421939283956755
user_n_unique_albums,0.13402670380048434
user_n_unique_items,0.11737578094194402
pair_n_low_played,0.11430098672750803
user_like_rate,0.10399505211055066
pair_max_played_ratio_30d,0.10207163232154264
album_pop_rank,0.09878803183914311
user_n_unlikes,0.0970064310272611
embed_cos_user_liked_mean,0.0895083433303569
item_n_likes,0.0875425034426021
item_n_unique_users,0.07993190423932384
embed_cos_user_disliked_mean,0.07971426584996227
item_dislike_rate,0.07001818414535343
itemknn_score,0.06442484873896057
item_pop,0.059669689480008344
als_rank,0.04329414346367289
itemknn_rank,0.03957711191762657
item_n_dislikes,0.03895977275638543
user_dislike_rate,0.033713212394020954
user_n_listens_1d,0.03293569611875122
pair_is_unliked,0.03224336080442487
user_n_dislikes,0.014378484518747101
pair_share_replayed,0.007698656104829121
decaypop_score,0.00477576895715408
decaypop_rank,0.00315779382866634
audio_knn_score,0.0026259635846396785
pair_is_undisliked,1.3866218342136494e-05
audio_knn_rank,0.0
