Feature Id,Importances
pair_decay_listens,12.03473773032382
pair_avg_played_ratio,10.818056327229142
pair_days_since_last_listen,9.938476868936903
pair_n_listens,8.630463987830376
user_share_organic,6.33107632192299
artist_pop_score,3.2754565467952697
artist_pop_rank,3.230157557749891
pair_listens_per_day,2.8934105712847127
user_avg_listens_per_day,2.7029860838777746
pair_max_played_ratio,2.6678659994567586
user_n_listens_30d,2.4834103345005634
item_decay_pop,2.3894259845821417
pair_share_organic,2.3645118457468786
pair_avg_played_seconds,2.3635262848570626
repeat_score,1.8463663785009905
user_n_listens_7d,1.7915067249529129
recent_likes_score,1.767209801151893
repeat_rank,1.3869992289671875
album_pop_score,1.3641679171223877
item_pop_7d,1.0060098211908493
item_pop_30d,0.9920470271883057
item_recency,0.992046556385738
artist_pop,0.9778265377137795
als_score,0.857356037152256
user_recency_last_listen,0.7768039821783286
item_avg_played_ratio,0.7707034419231877
item_track_length_seconds,0.7542092113291005
recent_likes_rank,0.7430200527035206
pair_days_since_first_listen,0.7223771640105453
user_n_listens,0.689770529715753
user_avg_played_ratio,0.6576815190604259
user_n_likes,0.6432679553521707
user_share_low_played,0.6198217996058903
pair_share_recent_listens,0.5458450221891168
pair_is_liked,0.5427729072108666
user_artist_share,0.5133632894795428
user_n_listens_log,0.5129014794771781
item_pop,0.4766000975075715
album_pop,0.4730632477138727
user_share_replayed,0.4411121543672879
user_artist_listens,0.4259459812353841
audio_knn_score,0.4252793379695661
item_share_organic,0.35582390070949865
user_like_rate,0.33759900444846996
item_n_unique_users,0.31736418660769106
user_share_completed,0.31463195163653895
item_share_completed,0.2744216895231384
pair_share_completed,0.22994439796715063
pair_n_low_played,0.22141548342123685
user_n_unique_albums,0.21258815869009204
item_like_rate,0.21236197007729166
user_n_unique_artists,0.2119097904721614
album_pop_rank,0.17873659533720462
user_n_unlikes,0.17841917346670053
user_dislike_rate,0.1559604666920217
als_rank,0.15425912979980186
user_n_unique_items,0.14258664229745932
user_album_listens,0.09361114876782926
itemknn_rank,0.0905448352532578
item_n_likes,0.08346679439098949
user_n_listens_1d,0.08137547158992876
user_n_dislikes,0.07372139176952663
audio_knn_rank,0.06819561626254125
item_dislike_rate,0.04908887353594572
pair_is_unliked,0.04702801005259646
itemknn_score,0.041053251445920265
item_n_dislikes,0.020712810794948362
pair_share_replayed,0.01021561061967108
decaypop_rank,0.003276534291109438
decaypop_score,4.3995383022125e-05
pair_is_undisliked,5.466246368744531e-06
