Feature Id,Importances
lgbm_score,64.19518415535714
lgbm_rank,29.294590883623894
user_share_organic,1.240488251036011
pair_share_user_listens,0.48233180686056804
user_n_listens_30d,0.3869304364896751
pair_is_liked,0.31673919009868823
user_avg_listens_per_day,0.27734567279663963
recent_likes_rank,0.246672161458162
pair_avg_played_ratio,0.24537410559178016
repeat_score,0.20479164311420003
pair_decay_listens,0.18984100687515057
pair_recency_ratio,0.15852625583897437
pair_days_since_last_listen,0.15436895933687161
pair_recency_share_30d,0.15116378891875162
item_like_rate,0.14530601536362409
recent_likes_score,0.13878245488340848
item_avg_played_ratio,0.1353035112664217
user_n_listens,0.13063290011874845
pair_listens_per_day,0.13038201381184988
pair_avg_played_ratio_30d,0.1284443807708281
pair_max_played_ratio_30d,0.1260762040912478
pair_n_listens_90d,0.10953229022761025
user_like_rate,0.09331135356407438
repeat_rank,0.07560953999863287
item_share_organic,0.07141056817361656
user_n_listens_log,0.07037541249782937
pair_avg_played_seconds,0.06784880011162683
pair_share_item_pop,0.06321374676733832
pair_days_since_first_listen,0.05638955829458193
item_share_completed,0.05483933790370588
user_n_unlikes,0.05476146434946933
user_n_unique_albums,0.05325436300226096
album_pop_score,0.04648502195338165
pair_share_completed,0.04477865633086842
user_share_low_played,0.04394133267614695
user_album_listens,0.03868846704074006
pair_share_organic,0.03798562639975875
user_n_listens_7d,0.03494873995821669
item_dislike_rate,0.034193177619641635
user_n_unique_artists,0.03145101467963905
cg_count,0.028351844154588194
user_avg_played_ratio,0.0261343402214689
user_n_likes,0.025509552740089855
pair_share_recent_listens,0.02491438177814102
als_rank,0.01945969587410023
als_score,0.019429707718842688
user_share_completed,0.01770263913704271
embed_cos_user_last_max,0.017384908610479897
user_share_replayed,0.01667115765002288
embed_cos_user_liked_mean,0.01533422727159249
item_track_length_seconds,0.014751380986338183
pair_n_low_played,0.013795715001231541
user_n_listens_1d,0.013495001397116084
user_n_unique_items,0.013149254491280753
user_recency_last_listen,0.012761852977039835
album_pop,0.012519452226774894
esasrec_score,0.011890052477291451
item_pop_acceleration,0.010583887026348956
item_n_likes,0.009962800922752996
itemknn_score,0.009916460342733689
cg_mean_score_norm,0.009861422300262448
user_artist_focus,0.007812684922441858
embed_cos_user_disliked_mean,0.007778558694574679
album_pop_rank,0.007426833047155918
item_n_dislikes,0.007387566992736587
esasrec_rank,0.007086401503374785
item_n_unique_users,0.006954406829681362
embed_cos_user_last_5,0.005920968799518157
audio_knn_score,0.005915697017627941
user_n_dislikes,0.005865890656283757
pair_n_listens_30d,0.0057683507401381775
artist_pop_rank,0.004230376226588408
user_artist_share,0.004021290282318007
user_artist_listens,0.00380548650817662
pair_n_listens,0.00325154808272789
item_pop_30d,0.0030817060202478494
embed_cos_user_last_20,0.0030032649313243304
artist_pop_score,0.0017480599033157255
user_dislike_rate,0.0010993855876979403
item_recency,0.0009696393321809488
embed_cos_user_last_50,0.000613769236546401
artist_pop,0.0003841101279996564
decaypop_score,0.0
decaypop_rank,0.0
itemknn_rank,0.0
audio_knn_rank,0.0
item_pop,0.0
item_pop_7d,0.0
item_decay_pop,0.0
pair_max_played_ratio,0.0
pair_share_replayed,0.0
pair_is_unliked,0.0
pair_is_undisliked,0.0
embed_cos_user_mean,0.0
embed_cos_user_last_100,0.0
